,status_group
0,functional
1,functional
2,non functional
3,non functional
4,non functional
5,functional
6,functional
7,functional
8,non functional
9,functional
10,non functional
11,functional
12,non functional
13,non functional
14,non functional
15,functional needs repair
16,functional
17,non functional
18,functional
19,functional
20,functional
21,functional
22,functional
23,non functional
24,non functional
25,non functional
26,functional
27,functional
28,functional
29,functional
30,non functional
31,functional
32,non functional
33,non functional
34,non functional
35,non functional
36,functional
37,functional
38,functional
39,functional
40,non functional
41,functional needs repair
42,functional
43,non functional
44,non functional
45,functional
46,non functional
47,non functional
48,functional
49,non functional
50,functional
51,non functional
52,non functional
53,functional
54,non functional
55,non functional
56,functional
57,functional
58,non functional
59,functional
60,functional
61,non functional
62,functional
63,functional
64,non functional
65,functional
66,functional
67,non functional
68,functional
69,non functional
70,non functional
71,functional
72,functional
73,functional needs repair
74,non functional
75,non functional
76,functional
77,non functional
78,functional
79,functional
80,non functional
81,non functional
82,functional
83,functional
84,functional
85,functional needs repair
86,functional
87,non functional
88,functional
89,functional
90,functional
91,functional
92,functional
93,non functional
94,functional
95,functional
96,functional
97,non functional
98,functional
99,functional
100,functional
101,functional
102,non functional
103,functional
104,functional
105,functional
106,non functional
107,non functional
108,non functional
109,functional
110,functional
111,non functional
112,non functional
113,non functional
114,non functional
115,non functional
116,functional
117,functional
118,functional
119,functional
120,functional
121,non functional
122,functional
123,non functional
124,non functional
125,non functional
126,functional
127,functional
128,non functional
129,non functional
130,functional
131,functional
132,non functional
133,functional
134,functional
135,functional
136,functional
137,functional
138,functional needs repair
139,functional
140,non functional
141,functional
142,functional needs repair
143,non functional
144,functional
145,functional
146,functional
147,functional
148,functional
149,functional
150,functional
151,functional
152,functional
153,non functional
154,functional needs repair
155,non functional
156,functional
157,functional
158,functional
159,functional
160,functional
161,non functional
162,non functional
163,functional
164,functional
165,functional
166,functional
167,functional needs repair
168,non functional
169,functional needs repair
170,functional
171,functional
172,non functional
173,functional
174,functional
175,functional
176,non functional
177,non functional
178,non functional
179,functional
180,functional
181,functional
182,non functional
183,functional
184,functional
185,non functional
186,functional needs repair
187,functional
188,non functional
189,functional
190,non functional
191,non functional
192,non functional
193,non functional
194,functional
195,non functional
196,non functional
197,non functional
198,non functional
199,functional
200,non functional
201,non functional
202,non functional
203,functional
204,functional
205,functional
206,functional
207,functional needs repair
208,functional
209,functional
210,functional
211,non functional
212,functional
213,functional
214,functional
215,non functional
216,non functional
217,functional needs repair
218,functional
219,functional
220,functional
221,functional
222,functional
223,functional
224,non functional
225,non functional
226,functional
227,functional needs repair
228,non functional
229,non functional
230,non functional
231,functional needs repair
232,non functional
233,functional needs repair
234,non functional
235,functional needs repair
236,functional
237,functional
238,non functional
239,functional
240,functional
241,functional
242,functional
243,functional
244,functional
245,non functional
246,functional
247,functional
248,non functional
249,functional
250,functional
251,non functional
252,functional needs repair
253,functional needs repair
254,functional needs repair
255,functional
256,functional
257,functional
258,functional
259,functional
260,functional
261,functional
262,functional
263,functional needs repair
264,functional
265,non functional
266,functional
267,non functional
268,functional
269,non functional
270,functional
271,non functional
272,non functional
273,functional
274,functional
275,functional
